medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
0B8DF2DC5F1DB2C1906E80A4AD0CB244,520BBF8F09B2F9F10AD92D0AB9F567D3,CMT,1,N,2013-10-10 21:31,2013-10-10 21:55,1,1446,11.1,-73.864655,40.770145,-73.97982,40.764919
0B8DF2DC5F1DB2C1906E80A4AD0CB244,520BBF8F09B2F9F10AD92D0AB9F567D3,CMT,1,N,2013-10-10 23:14,2013-10-10 23:21,1,408,1.3,-73.993782,40.720791,-73.979408,40.729977
3EDE8B53B2A03EA8197697092A69B2FB,53EACE1B0984EAF8969A699188033627,CMT,1,N,2013-10-11 7:21,2013-10-11 7:27,2,340,1.2,0,0,0,0
8CC1F90519F8E0CEE9ADEAA358B67A17,17ACAB9A19EB16D42A18FF2BBCE6C51C,CMT,1,N,2013-10-07 13:44,2013-10-07 13:56,1,694,1.4,-73.978485,40.76162,-73.98996,40.744175
230F7F844B4C9D648D4912AD4661D518,B66B5088B889DA5282798D8307A0D4C4,CMT,1,N,2013-10-13 15:15,2013-10-13 15:20,1,303,0.8,-73.972176,40.794434,-73.980591,40.785961
6BD1B641A1CD55803A21560299B985A7,A33DB5A909ADBFCE2AB057264141C8E9,CMT,1,N,2013-10-13 8:03,2013-10-13 8:15,1,684,3.6,-73.954582,40.784096,-73.990768,40.757515
3B15391D168AA273853C7B26EC54BCEA,B1B21A359D4C306965A885E9EF9D139A,CMT,1,N,2013-10-09 7:46,2013-10-09 8:13,1,1665,7.2,-74.012245,40.701363,-73.957558,40.773911
1BEBB9DA42B5CFBC6DEFB78377D896A3,74448881762D8D1FF62D2B94B672894A,CMT,1,N,2013-10-10 6:35,2013-10-10 6:45,1,564,1.7,-73.968674,40.754875,-73.991547,40.749271
43C09662C25340EAD83452D591E08FB5,36672DB6AA89FF2C7A2A532B12E6C943,CMT,1,N,2013-10-13 19:17,2013-10-13 19:18,2,56,0.3,-73.96563,40.763042,-73.962776,40.766907
91E435E93E0C66BCEC7CE9164900CFF8,55B80C7362AFA388A50A54F7890BFB3B,CMT,1,N,2013-10-13 20:44,2013-10-13 21:01,1,1056,3.8,-74.005226,40.71981,-73.986664,40.764065
